FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
New York Private Bank & Trust (NYPB&T),https://nypbt.com/,United States,New York City (Headquarters at 6 East 43rd Street),1850,Privately held Multi-Family Office and Private Bank,Howard P. Milstein,"Chairman, President, and CEO",https://www.linkedin.com/company/new-york-private-bank-trust/,information@nypbt.com,"Real estate, private equity, manufacturing, energy, and customized fiduciary services; notably, it offers co-investment access alongside the Milstein family.",10000000,,Acquisition of a majority stake in Fortis Management Group (announced March 2026) to form the Emigrant Family Office unit,"Minority investment in Gerber Taylor, a Memphis-based investment management firm (2021).",,"Frequently co-invests with other successful families and through its subsidiary, Emigrant Partners.","John J.X. Trumpler, Head of Trust Services.",Moderately active; shares economic recaps and updates on its regional offices in Florida and Ohio.,Expansion into the Emigrant Family Office division following the Fortis Management Group acquisition.,2026-03-05T00:00:00.000Z,https://finance.yahoo.com/news/emigrant-acquire-majority-fortis-management-113635069.html,2026-03-17T00:00:00.000Z,Review of official corporate press releases and SEC-registered advisor profiles.,https://nypbt.com/about/,,$10 Billion
Summitas,summitas.com,United States,"New York City (Headquarters) and Charlotte, NC",2007,Financial Technology (SaaS) Platform for Family Offices/RIAs,Dan Gregerson,Chairman and CEO,https://www.linkedin.com/in/dangregerson/,info@summitas.com,"While not a direct investment firm, the platform facilitates investment reporting, document sharing, and secure collaboration for UHNW portfolios.",,,,,,,,,,,,,,,,
Fortis Management Group,https://www.fortismgmt.com/,United States,"Waltham, Massachusetts (Headquarters)",2005,Multi-Family Office / Registered Investment Advisor (RIA),Jay Goldfarb,Founder and CEO,https://www.linkedin.com/in/jay-goldfarb-3230108/,info@fortismgmt.com,"Acts as an unbiased gatekeeper; notably, the firm does not provide direct investment advice or manage assets in-house.",100000000,,"Acquisition of a majority stake by Emigrant Bancorp (announced March 2026, expected to close April 2026).","Formation of Emigrant Family Office, where Fortis will serve as the foundational platform.",,Historically independent; now part of the Emigrant Bank network alongside Emigrant Partners.,Jay Goldfarb (CEO) continues to lead the team and retain a minority stake.,Active; primarily used for sharing corporate philosophy and recruitment for family office specialists.,Emigrant Bancorp agrees to acquire a majority stake in Fortis Management Group to launch its dedicated family office unit.,"March 5, 2026.",Yahoo Finance / Citywire RIA.,"March 17, 2026.",Cross-referenced official press releases regarding the Emigrant acquisition and SEC-registered advisor profiles.,https://www.fortismgmt.com/about-us/,,
Wirtgen Invest,https://www.wirtgen-invest.de/news/,Germany,Neustadt (Wied) / Windhagen (Headquarters),2017,Single-Family Office (SFO),"Marcel Müller, CIIA",Chief Investment Officer,https://www.linkedin.com/company/wirtgen-invest-holding-gmbh/,info@wirtgen-invest.de,"Real Estate, Renewable Energy (Solar/Wind), Venture Capital, and Capital Markets",,,Solarpark Barcs (Hungary) – Successful connection of a new PV park (May 2024).,Acquisition of the Wellness Resort A-ROSA on Sylt.,,Typically invests own capital for long-term holding; partners with industrial leaders and specialized developers for renewable projects,Marc Balkenhol (Head of Real Estate) or Sandra Ahern (Head of Asset Management Real Estate).,Moderately active; focuses on sustainability milestones and high-profile real estate acquisitions.,Wirtgen Invest continues its expansion into international real estate with prime acquisitions like 50 Finsbury Square in London.,May 2024 (Solarpark) / October 2022 (Real Estate).,https://www.wirtgen-invest.de/en/news/,"March 17, 2026.",Review of official company announcements and private equity industry profiles.,https://www.wirtgen-invest.de/en/family-office/,,€4.4 Billion+
Baltisse,baltisse.com,Belgium,Ghent (Headquarters),2007,Single-Family Office / Private Investment Company,Heider Ridha,Head of Private Equity,https://www.linkedin.com/in/heider-ridha-3350b4a/,info@baltisse.com,"Direct private equity (industrial, health-care, energy services), real estate development (offices, senior housing), and liquid capital markets",€10 Million,€100 Million,Commitment to Syndicate One - Fund II (February 2026),Acquisition/Development of the Souverain 100 sustainable office project in Brussels (scheduled for Q4 2026 delivery),,Frequently partners with other European family offices and specialized fund managers like Syndicate One,Benjamin Biesmans (Investment Director),Highly active; frequently promotes private equity internship opportunities and major real estate milestones,Appointment of Alexander van Ravels to lead value-add real estate strategies across Europe,February 2026 (for fund commitment),https://www.privateequityinternational.com/institution-profiles/baltisse.html,"March 17, 2026.","Cross-referenced official company newsroom, LinkedIn updates, and financial institution profiles",https://www.baltisse.com/en/about-us,,
Verdoso Investments SA,https://www.verdoso.com/,France,Paris,1997,Single-Family Office / Private Equity Firm,Franck Ullmann,Founder & President,https://www.linkedin.com/in/franck-ullmann-ba49bb10/,contact@verdoso.com,"Industrial turnarounds, corporate carve-outs, business services, and real estate (via their Balestra subsidiary).",€100M,€500M,Acquisition of the Ibis Budget Dunkerque Grande-Synthe hotel (July 2025) via Balestra.,"Acquisition of a majority stake in Cenexi, a pharmaceutical contract development and manufacturing organization (CDMO).",,Often invests solo using family capital; has historically partnered with industrial giants like Schneider Electric and Arcelor for carve-outs.,"As a single-family office, they primarily manage internal capital; Vincent Fahmy (Managing Director) oversees investment operations.","Moderate; focuses on portfolio milestones and the expansion of their ""Balestra"" real estate platform.","Expansion of the Balestra real estate arm into the ""Single Family Home"" rental market in the United States.",2025-06-25T00:00:00.000Z,https://familyofficehub.io/blog/ullmann-hamon-family-office-acquires-french-hotel/,"March 17, 2026.",Review of official company website and French commercial registry (Infogreffe).,verdoso.com,,
Corient,https://corient.com/,United States,"Miami, Florida (Headquarters)",2020,Multi-Family Office / Registered Investment Advisor (RIA),Kurt MacAlpine,Partner and Chief Executive Officer,https://www.linkedin.com/in/kurt-macalpine-0034713/,,"Comprehensive wealth management for ultra-high-net-worth (UHNW) families, including tax strategy, estate planning, and specialized access to private equity and hedge funds.",$5M–$10M+,,"Acquisition of Palo Alto Wealth Advisors, adding ~$767M in assets (January 2026).","Strategic combination with Stonehage Fleming and Stanhope Capital to expand into Europe and the Middle East (announced late 2025, pending 2026).",,"Backed by Mubadala Capital, which took the parent company private in 2025.","Darren Henderson, Head of U.S. Wealth Advisory.",Highly active; frequently publishes insights on liquidity planning and market foresight.,Corient reported to be in talks for a potential take-private deal of AlTi Global (AUM ~$89B).,2026-01-30T00:00:00.000Z,https://www.wealthmanagement.com/ria-news/deals-moves-corient-acquires-ria-in-silicon-valley-carson-in-midwest,"March 17, 2026.",Review of official SEC Form ADV filings and corporate newsroom updates.,corient.com,,$218 Billion
AlTi Tiedemann Global,alti-global.com,United States,New York City,2023,Publicly Traded Multi-Family Office / Global Wealth Manager,Michael Tiedemann,Chief Executive Officer,https://www.linkedin.com/in/michael-tiedemann-1872871a/,investor@alti-global.com,"Impact/Sustainable investing, global equities, private equity, real estate, and merchant banking.",$25M+,,"Acquisition of Kontora, a leading German multi-family office (May 2024).","Acquisition of Envoi, an $3B AUM Minneapolis-based family office (May 2024).",,Allianz X and Constellation Wealth Capital (Strategic investors).,"Lily Arteaga, Head of Investor Relations.",Highly active; focuses on sustainable investing and global market outlooks.,Reported merger talks with Corient for a potential take-private deal.,2024-10-01T00:00:00.000Z,https://citywire.com/pro-buyer/news/corient-held-talks-to-buy-89bn-alti-global-in-take-private-deal-sources/a2480212,"March 17, 2026.",Review of SEC 10-K filings and official press releases.,ir.alti-global.com,,$80 Billion – $91 Billion
Pathstone,https://pathstone.com/,United States,"Englewood, NJ (Headquarters)",2010,Multi-Family Office / Registered Investment Advisor (RIA),Matthew Fleissig,Co-Founder and Chief Executive Officer,https://www.linkedin.com/in/matthew-fleissig/,FLast@pathstone.com,"Integrated wealth management including impact investing, global equities, private equity, and fixed income.",$10M+,,"Hall Capital Partners: Strategic combination in late 2024, adding $45B in assets",Veritable LP: Major acquisition in July 2023 to solidify its UHNW market presence,,Strategically backed by private equity firms Kelso & Company and Lovell Minnick Partners (LMP).,"Eddie Brown, Chief Growth Officer (Partner).","Highly active; frequently shares market updates (e.g., Iranian developments in March 2026) and tactical allocation viewpoints.",Pathstone was named to the 2026 RIA Edge 100 list for its intentional operational expansion and talent investment.,2026-02-13T00:00:00.000Z,https://pathstone.com/about-us/newsroom/,"March 17, 2026.",Review of SEC Form ADV filings and official corporate press releases.,pathstone.com,,$100 Billion
Bessemer Trust,https://www.bessemertrust.com/,United States,New York City (Headquarters),1907,Multi-Family Office / Registered Investment Advisor (RIA),Holly H. MacDonald,Chief Executive Officer,https://www.linkedin.com/in/holly-h-macdonald-29a286b3/,,"Global equities, fixed income, and alternative investments for UHNW families.",$10M–$15M,$75M–$500M,Healthcare Cleaning Specialist: Established a new platform partnership (Dec 2025).,Tencarva Machinery Company: Acquisition of Atlantic Valve & Equipment (April 2025).,,Frequently partners with other family offices and private equity firms; recent platform growth supported by internal capital from the Phipps family.,"Mike Selfridge, Head of Client and Family Office Solutions.","Highly active; regularly posts ""Quarterly Investment Perspectives"" and market outlooks for 2026.","Bessemer Trust ""gatekeepers"" recently dropped Baillie Gifford as a subadvisor on an $8B fund to broaden exposure beyond mega-caps.",2026-03-01T00:00:00.000Z,https://citywire.com/pro-buyer/news/bessemer-trust-gatekeepers-drop-baillie-gifford-as-subadvisor-on-8bn-fund/a2446595,"March 17, 2026.","Review of official company website, LinkedIn corporate updates, and SEC filings.",https://www.bessemertrust.com/,,$250 Billion
Dr. Hans Riegel Holding,https://www.hans-riegel-stiftung.com/en/,Germany,Bonn,1987,Private Holding Company / Single-Family Office Structure,Alexander Kukla,Foundation Director (Managing Director level within the family ecosystem),https://www.linkedin.com/in/alexander-kukla-48a28216/,alexander.kukla@hans-riegel-stiftung.com,Majority and minority stakes in the global confectionery industry (notably Haribo).,,,Partnership with the zdi Network to support MINT/STEM fields in the Rhein-Sieg-Kreis district.,"Funding of ""Scientist Fox"" day care centers with up to €30,000 per project over three years.",,"Often partners with public institutions and universities, such as the University of Linz or the Deutsche Museum Bonn.","Marco Alfter, Head of the Board of Trustees.","Active; primarily shares updates on educational projects, the ""TouchTomorrow"" truck tour, and STEM awards.",The Dr. Hans Riegel Foundation participated in the didacta 2026 education fair to promote junior STEM teacher recruitment.,2026-03-10T00:00:00.000Z,Hans Riegel Stiftung Newsroom,"March 17, 2026.",Review of official foundation reports and German corporate registry (North Data).,https://www.hans-riegel-stiftung.com/en/foundation/people,,
Paul Riegel Familienholding,,Germany,Bonn,1920,Single-Family Office / Private Holding Company,Hans-Guido Riegel,Managing Director / Shareholder,,info@haribo.com,Primarily the confectionery industry (Haribo) and associated real estate and asset management for the Paul Riegel branch of the family.,,,"Ongoing multi-year expansion of Haribo’s first U.S. manufacturing facility in Pleasant Prairie, Wisconsin.",Integration and operational streamlining of the Haribo Holding GmbH & Co. KG spin-off (established to manage joint interests of both family branches).,,Exclusively partners with the Dr. Hans Riegel Holding (the other 50% shareholder of Haribo).,The holding is comprised of Paul Riegel's children as limited partners.,"Low; the family maintains a very private profile, with activity limited to official Haribo brand updates.",The Riegel family heirs recently reached a long-term agreement to maintain the joint management of Haribo through a centralized holding structure in Grafschaft.,2024-03-01T00:00:00.000Z,North Data / Haribo Press,"March 17, 2026.",Review of German commercial register (Handelsregister) filings and Haribo corporate history.,haribo.com,,
Symbia VC,https://www.symbia-vc.com/,Austria,Kuchl (near Salzburg) / Vienna,2022,Corporate Venture Capital (CVC) / Multi-Family Office-backed VC,Johannes Oberdanner,Managing Partner,https://www.linkedin.com/in/oberjo/,https://www.symbia-vc.com/contact/,"Sustainable core business along the wood and forestry value chain, including timber industry tech, innovative woodwork, and forest preservation.",,,Modvion — Invested in sustainable wooden wind turbine towers (March 2023).,Timbatec — Strategic support for timber construction engineering innovators.,,"Often partners with business angels, industrial pioneers, and other sustainability-focused CVCs.",Peter Kunz oversees the founding partner relationship with the Barbara Pfeifer private foundation.,Active; frequently sharesrecaps from industry events like Bits & Pretzels and insights on diversity in startups.,"Symbia VC recently emphasized its shift toward becoming an independently operating CVC, moving beyond its initial single-LP foundation structure.",2025-12-18T00:00:00.000Z,https://www.symbia-vc.com/perspectives/,"March 17, 2026.","Review of official company ""About"" and ""Process"" documentation alongside LinkedIn corporate profiles.",,,
A.P. Moller Holding,https://apmoller.com/,Denmark,Copenhagen (Headquarters at Esplanaden 19),2013,Privately held Investment Company / Parent Company of A.P. Moller Group,Robert Mærsk Uggla,Chief Executive Officer,https://www.linkedin.com/in/robert-maersk-uggla/,info@apmoller.com,"Renewables, global trade, infrastructure, and ""nyttig virksomhed"" (socially useful business)",,,Lead investor in Upway $60 million Series C (Nov 2025),Acquisition of a 51% stake in BERGÉ (port infrastructure) via A.P. Moller Capital (Feb 2026),,"Frequently partners with Kinnevik, ENEOS, and sovereign wealth funds","Jan T. Nielsen, Chief Investment Officer",Highly active; highlights maritime milestones and green transition investments,Successfully completed a voluntary purchase offer for Svitzer to take the company private,2025-05-16T00:00:00.000Z,https://apmoller.com/news/,"March 17, 2026.",Review of 2024 Annual Report and official corporate news releases,https://apmoller.com/investment-approach/,,$32 Billion – $34 Billion
EGS Beteiligungen AG,https://www.egs-beteiligungen.ch/en,Switzerland,Zurich (Headquarters at Kreuzstrasse 82),2009,Investment Company / Subsidiary of a Single-Family Foundation,Dr. Franz Studer,Managing Director,https://www.linkedin.com/in/franzstuder/,info@egs-beteiligungen.ch,"Established Swiss industrial, IT, and medical technology companies; also finances late-stage (growth) technology startups.",CHF 50 Million,CHF 200 Million,Beekeeper — Merger with LumApps (backed by Bridgepoint) announced in July 2025.,Bcomp — Participation in a Series C funding round for sustainable composites (April 2024).,,Often partners with institutional investors like Bridgepoint (Beekeeper deal) or specialized VC firms in the Swiss ecosystem.,Urs Eberhard (CFO and Member of the Executive Board).,Active; primarily used for hiring announcements and celebrating portfolio company milestones.,"The firm recently announced the addition of multiple new team members, including Hendrik Nelis and Benedikt Kirchgässler, to its investment team",2025-08-18T00:00:00.000Z,https://www.egs-beteiligungen.ch/en/news,"March 17, 2026.","Review of official company website, Swiss Commercial Register data, and press releases.",https://www.egs-beteiligungen.ch/investmentstrategie,,
Kinnevik,kinnevik.com,Sweden,Stockholm (Headquarters),1936,Publicly Traded Investment Company (Nasdaq Stockholm: KINV),Georgi Ganev,Chief Executive Officer,https://www.linkedin.com/in/georgiganev/,info@kinnevik.com,"High-growth digital companies in Value-based Healthcare, Software (SaaS), and Climate Tech.",$10 Million,$200 Million,Aetion — Lead investor in a Series C extension for real-world evidence healthcare data (January 2026).,Mews — Participation in a $110 million expansion round for the hospitality cloud platform (March 2025).,,"Frequently partners with A.P. Moller Holding, Northzone, Temasek, and Mubadala.","Torun Litzén, Director of Corporate Communications and IR.","Highly active; focuses on sustainability reports, portfolio ""founder stories,"" and quarterly financial results.",Kinnevik completed the multi-step divestment of its entire stake in Tele2 to iliad/NJJ Holding for approximately SEK 13 billion.,2026-02-01T00:00:00.000Z,Kinnevik Press Releases,"March 17, 2026.",Review of 2025 Year-End Report and official NASDAQ Stockholm filings.,kinnevik.com,,SEK 50 Billion
Sofina,https://www.sofinagroup.com/,Belgium,"Brussels (Headquarters); additional offices in Luxembourg, Singapore, and London",1898,Publicly Traded Investment Company / Family Office,Harold Boël,Chief Executive Officer,https://www.linkedin.com/in/harold-bo%C3%ABl-b27a883/,info@sofinagroup.com,"Long-term minority stakes in five key sectors: Digital Transformation, Education, Healthcare & Life Sciences, Consumer & Retail, and Sustainable Supply Chains.",€100M,€300M,New position in Proeduca (Education sector) in 2025.,Investment in Scalable Capital (Digital Transformation).,,"Frequently partners with tier-one venture and growth managers like Sequoia Capital, Andreessen Horowitz, and Lightspeed.","Wouter Coussens, Head of Communications and Investor Relations.","Active; frequently shares portfolio news, quarterly performance updates, and corporate sustainability reports.",Successfully completed a €545 million rights offering and is considering a €500 million bond offering for late 2025 or 2026.,2025-10-07T00:00:00.000Z,Sofina Press Releases,"March 17, 2026.",Review of official 2024 Annual Report and September 2025 Half-Year Report.,sofinagroup.com,,€9.8 Billion
Stella Vermögensverwaltung,,Germany,Grünwald (near Munich),1997,Single-Family Office (SFO),Christoph Schlegel,Managing Director & Chief Investment Officer (CIO),https://www.linkedin.com/in/christoph-schlegel-29749233/?originalSubdomain=de,,"Long-term wealth preservation across listed equities, private equity, debt, real estate, and a recently ""ramped up"" 10% allocation to impact investing.",,,responsAbility Investments AG: Awarded a €200 million private equity impact mandate targeting UN Sustainable Development Goals (Jan 2026).,Blue Earth Capital: Committed to their debut Impact Secondaries Fund (Jan 2026).,,Invests alongside the Swiss Development Finance Institution (SIFEM) and institutional managers like M&G.,,"Highly active through its MD Christoph Schlegel, who frequently discusses the firm's evolving impact and private equity strategies.","Stella significantly increased its impact investment commitments, targeting industrial decarbonization, circular economy, and social impact in emerging markets.","January 29–30, 2026",https://www.newprivatemarkets.com/german-family-office-selects-manager-for-e200m-sdg-focused-mandate/,"March 17, 2026.",Review of institutional profiles from Private Equity International and Altss.,,,multi-billion euro
KIMPA Impact,https://www.kimpa.co/,France (Global HQ),"Paris (HQ), with offices in Marseille and Madrid",2020,Multi-Family Office / Impact Investment Advisor,Julien Lescs (Co-founder) or Olivier Rieu (Co-founder),Co-founder,https://www.linkedin.com/in/julienlescs/,talents@kimpa.co,"Direct private equity, real estate, forests, and liquid portfolios with an ESG/SDG lens",500000,,Agoterra – Advisor/Investor in a platform for local regenerative agriculture carbon credits,Reekom – Investment in a circular economy/re-commerce platform for defective products,,Frequently collaborates with European impact funds and individual family offices; partners include those focused on the 17 UN Sustainable Development Goals,Marie Freville (Family Officer),"Highly active; frequently shares insights on impact measurement, new ""SDG scoring"" tools, and hiring for their Madrid office","Won the award for ""Best Family Office under 5 years"" in 2022 and continues expanding its ""augmented portfolio"" scoring system in 2026","March 12, 0202",https://www.kimpa.co/nos-investissements-recents,"March 17, 2026.",Review of official company impact reports and LinkedIn corporate presence,kimpa.co,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Benson Capital,https://bensoncapital.ca/,Canada,,,Real estate financing firm,,,,,Real estate financing,,,,,,,,,,,,2026-03-18,Web search / official website,https://bensoncapital.ca/about-us/,Public website found under Benson Capital / Benson Family Private Equity.,
Planet First Partners,https://www.planetfirst.partners/,Luxembourg,Senningerberg,2020,Growth equity / Article 9 fund,,,,,Sustainable technologies,,,,,,,,,,,,2026-03-18,Web search / official website,https://www.planetfirst.partners/who-we-are,Article 9 fund focused on sustainability.,
Norrsken VC,https://www.norrsken.vc/,Sweden,Stockholm,2017,Venture capital / impact fund,,,,,Impact startups,,,,,,,,,,,,2026-03-18,Web search / official website,https://www.norrsken.vc/about,VC arm of Norrsken Foundation.,
Haniel,https://www.haniel.de/en/,Germany,Duisburg,1756,Family equity / investment holding,,,,,Majority stakes in European business services; diversified financial assets,,,,,,,,,,,,2026-03-18,Web search / official website,https://www.haniel.de/en/about-haniel/,100% family-owned.,
